City,Latitude,Longitude,Region,Country
Acharnes,38.0841607,23.7368653,Attica,Greece
Afidnes,38.2056532,23.8364137,Attica,Greece
Agia Paraskevi,40.4810269,23.0482597,Attica,Greece
Agia Varvara,35.1330871,24.9981963,Attica,Greece
Agioi Anargyroi,36.7336183,24.4981111,Attica,Greece
Agios Dimitrios,40.1559372,22.2309596,Attica,Greece
Agios Ioannis Rentis,37.9623421,23.668454,Attica,Greece
"Agios Konstantinos, East Attica",38.1624501,23.36556,Attica,Greece
"Agios Stefanos, Attica",38.1410051,23.8575845,Attica,Greece
Aigaleo,37.9915665,23.6818754,Attica,Greece
Alimos,37.91104655,23.72148242630591,Attica,Greece
"Marousi, Attica",38.0546653,23.8081533,Attica,Greece
Anavyssos,37.7375619,23.9521915,Attica,Greece
Ano Liosia,38.0850569,23.7059206,Attica,Greece
Anoixi,38.14636,23.86203,Attica,Greece
"Anthousa, Attica",38.0286753,23.8757098,Attica,Greece
Argyroupoli,35.2853662,24.3348295,Attica,Greece
"Artemida, Attica",37.9741958,24.0091361,Attica,Greece
Aspropyrgos,38.0586212,23.5892278,Attica,Greece
Athens,37.9839412,23.7283052,Attica,Greece
"Avlonas, Attica",38.24979,23.6941028,Attica,Greece
Chaidari,38.0070659,23.6563151,Attica,Greece
Chalandri,38.0215202,23.7984139,Attica,Greece
Cholargos,38.0018048,23.7982582,Attica,Greece
"Dafni, Attica",37.9506355,23.7358251,Attica,Greece
"Dionysos, Greece",38.1010059,23.8836998,Attica,Greece
Drapetsona,37.9490926,23.6282598,Attica,Greece
"Drosia, Attica",38.1090006,23.8613611,Attica,Greece
Ekali,38.1068395,23.8425642,Attica,Greece
Eleusis,38.047608,23.5348663,Attica,Greece
Elliniko,39.5494449,20.9528302,Attica,Greece
"Erythraia, Attica",38.095510950000005,23.812179550000003,Attica,Greece
Filothei,38.0221347,23.7848706,Attica,Greece
Fyli,38.1274839,23.673354144760843,Attica,Greece
Galatsi,38.0194499,23.75554650283589,Attica,Greece
Gerakas,38.0120455,23.8560814,Attica,Greece
Glyfada,37.8615966,23.7545902,Attica,Greece
Glyka Nera,37.9867003,23.8474897,Attica,Greece
Grammatiko,38.2026681,23.9673359,Attica,Greece
"Ilion, Greece",38.0319662,23.7078788,Attica,Greece
Ilioupoli,37.9321047,23.7559673,Attica,Greece
"Iraklio, Attica",38.0483101,23.7661386,Attica,Greece
Kaisariani,37.958162,23.799005456806853,Attica,Greece
"Kalamos, Attica",38.2845182,23.8626821,Attica,Greece
Kallithea,37.9560111,23.7033792,Attica,Greece
Kalyvia Thorikou,37.8393098,23.928117,Attica,Greece
Kamatero,38.0620067,23.7089143,Attica,Greece
Kapandriti,38.2154016,23.8771012,Attica,Greece
Keratea,37.8080995,23.9772854,Attica,Greece
Keratsini,37.9650175,23.6207952,Attica,Greece
Kifisia,38.0915321,23.7912825,Attica,Greece
Korydallos,37.9844029,23.6495008,Attica,Greece
Kouvaras,38.6891588,21.229984,Attica,Greece
Kropia,37.874750750000004,23.855900588531505,Attica,Greece
"Kryoneri, Attica",38.1404465,23.832835,Attica,Greece
Lavreotiki,37.7528118,24.018706825909092,Attica,Greece
Lykovrysi,38.0681489,23.7803023,Attica,Greece
"Magoula, Attica",38.0793363,23.5228501,Attica,Greece
Malakasa,38.2380817,23.779336,Attica,Greece
Mandra,45.8228924,25.0466557,Attica,Greece
"Marathon, Greece",38.1567569,23.961062,Attica,Greece
Markopoulo Mesogaias,37.8828919,23.932256,Attica,Greece
Markopoulo Oropou,38.2898595,23.8237368,Attica,Greece
Megara,37.9952543,23.3417858,Attica,Greece
Melissia,38.0491855,23.8352653,Attica,Greece
Metamorfosi,40.229456,23.6033959,Attica,Greece
Moschato,37.9535099,23.681799,Attica,Greece
Nea Chalkidona,38.0306737,23.7325832,Attica,Greece
Nea Erythraia,38.095510950000005,23.812179550000003,Attica,Greece
Nea Filadelfeia,40.7977727,22.84076,Attica,Greece
Nea Ionia,38.03934295,23.757590861625644,Attica,Greece
Nea Makri,38.0867365,23.9774696,Attica,Greece
Nea Palatia,38.3211868,23.7960945,Attica,Greece
Nea Penteli,38.0586684,23.8561699,Attica,Greece
Nea Peramos,40.8414838,24.3053978,Attica,Greece
Nea Smyrni,37.9467441,23.7138357,Attica,Greece
Neo Psychiko,38.0056101,23.7822671,Attica,Greece
"Nikaia, Attica",37.9657507,23.6473298,Attica,Greece
Oinoi,37.836981,21.5251002,Attica,Greece
Oropos,38.3029045,23.7535388,Attica,Greece
Paiania,37.9538601,23.8524935,Attica,Greece
"Palaia Fokea, Attica",37.7177337,23.9480447,Attica,Greece
Palaio Faliro,37.9282756,23.6951675,Attica,Greece
Pallini,38.0042416,23.881354,Attica,Greece
Papagou,37.9842183,23.7884333,Attica,Greece
Pefki,36.0654128,28.0577565,Attica,Greece
"Penteli, Greece",38.0505896,23.8614591,Attica,Greece
Perama,39.6932343,20.8466667,Attica,Greece
Peristeri,38.0128111,23.6955137,Attica,Greece
Petroupoli,38.042469,23.683763,Attica,Greece
Pikermi,38.002215,23.9404647,Attica,Greece
Piraeus,37.9431594,23.6470593,Attica,Greece
Polydendri,38.2163741,23.8678642,Attica,Greece
Psychiko,41.0041779,23.6295049,Attica,Greece
Rafina,38.0216884,24.0075165,Attica,Greece
Rodopoli,41.2604972,22.9992184,Attica,Greece
Saronida,37.7490677,23.9061656,Attica,Greece
Skala Oropou,38.3207804,23.79051,Attica,Greece
Spata-Loutsa,37.9741958,24.0091361,Attica,Greece
Stamata,38.0645401,22.9246799,Attica,Greece
Sykamino,38.3024204,23.730355,Attica,Greece
Tavros,37.969574449999996,23.69301841595107,Attica,Greece
Thrakomakedones,38.1294473,23.7573686,Attica,Greece
"Vari, Attica",37.8333268,23.8024356,Attica,Greece
Varnavas,38.2236629,23.923487,Attica,Greece
Vilia,55.248951,42.206566,Attica,Greece
Voula,37.8454602,23.7615346,Attica,Greece
Vouliagmeni,37.8139557,23.7821394,Attica,Greece
Vrilissia,38.0399028,23.8389373,Attica,Greece
Vyronas,37.9564565,23.7554813,Attica,Greece
Ymittos,37.9548466,23.7462189,Attica,Greece
Zefyri,38.0709213,23.7178382,Attica,Greece
Zografou,37.9773935,23.770726,Attica,Greece
