Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,labels
"Agios Eleftherios, Athens",38.0200439,23.7317245,Το Μανταλάκι,38.02044289317083,23.73289536852563,Kafenio,0
"Agios Eleftherios, Athens",38.0200439,23.7317245,Το Πεϊνιρλί της Πόλης,38.01939758167016,23.731204840392277,Snack Place,0
"Agios Eleftherios, Athens",38.0200439,23.7317245,Latica,38.019196542521044,23.7291847757173,Café,0
"Agios Eleftherios, Athens",38.0200439,23.7317245,Το Παραδοσιακό,38.02109443037262,23.731908840175976,Bakery,0
"Agios Eleftherios, Athens",38.0200439,23.7317245,Η Συνάντηση,38.01968883773397,23.730404376983643,Kafenio,0
"Agios Eleftherios, Athens",38.0200439,23.7317245,Φούρνος Σόρογκα,38.020992356414204,23.731948637412337,Bakery,0
"Agios Eleftherios, Athens",38.0200439,23.7317245,4 Εποχές Μουσικό Μεζεδοπωλείο,38.01908993899403,23.729327924171535,Meze Restaurant,0
"Akadimia, Athens",37.9804237,23.7347616,Grain - Espresso Bar,37.98012822335477,23.737107526676493,Café,0
"Akadimia, Athens",37.9804237,23.7347616,Petite Fleur,37.98013420379679,23.73714501671613,Café,0
"Akadimia, Athens",37.9804237,23.7347616,Talkin' Heads,37.98157636295541,23.736628897217464,Health & Beauty Service,0
"Akadimia, Athens",37.9804237,23.7347616,Piadina  L' Umbro,37.979424,23.73563,Italian Restaurant,0
"Akadimia, Athens",37.9804237,23.7347616,Nakama Casual Sushi Bar,37.98164026708985,23.73673809182364,Sushi Restaurant,0
"Akadimia, Athens",37.9804237,23.7347616,Μικρό Γκλόρια,37.98166524789833,23.732988776316944,Theater,0
"Akadimia, Athens",37.9804237,23.7347616,Duck Soup,37.98062131318366,23.7320258588366,Café,0
"Akadimia, Athens",37.9804237,23.7347616,Fine Mess Smokehouse,37.981986,23.736651,Steakhouse,0
"Ampelokipi, Athens",37.9868929,23.7635354,Cross Garage,37.98696041878344,23.765449955777434,Gym / Fitness Center,0
"Ampelokipi, Athens",37.9868929,23.7635354,TGI Fridays,37.986942,23.761057,American Restaurant,0
"Ampelokipi, Athens",37.9868929,23.7635354,Αθήναιον,37.98604206328492,23.761170758762997,Multiplex,0
"Ampelokipi, Athens",37.9868929,23.7635354,Ζύμη & Σάλτσα,37.985791,23.762631,Breakfast Spot,0
"Ampelokipi, Athens",37.9868929,23.7635354,Άνεσις - Θεατρική σκηνή Ανδρέας Βουτσινάς,37.98720342871086,23.761999108041316,Theater,0
"Ampelokipi, Athens",37.9868929,23.7635354,Cubania Dancehouse,37.98682944140715,23.761357969858945,Dance Studio,0
"Ampelokipi, Athens",37.9868929,23.7635354,Catedral (Estudio de Tango),37.98754526927012,23.7661338402497,Dance Studio,0
"Ampelokipi, Athens",37.9868929,23.7635354,Κεμπαπτζίδικον Κωνσταντινίδης,37.986736,23.761002,Kebab Restaurant,0
"Ampelokipi, Athens",37.9868929,23.7635354,boo,37.988758168844164,23.7641100531743,Café,0
"Ampelokipi, Athens",37.9868929,23.7635354,Κάισσα Cafe,37.985381256400885,23.761815956738477,Café,0
"Ampelokipi, Athens",37.9868929,23.7635354,e-branch Τράπεζας Πειραιώς,37.98679893742245,23.76085402426179,Bank,0
"Ampelokipi, Athens",37.9868929,23.7635354,President Hotel Athens,37.989052353778455,23.76384347089262,Hotel,0
