Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,labels
Acharnes,38.0841607,23.7368653,Ωδείο,38.08301153489717,23.737051135286478,Café,0
Acharnes,38.0841607,23.7368653,Lemonia',38.080645133949865,23.736461132613776,Café,0
Acharnes,38.0841607,23.7368653,Bartist Cafe/Bar,38.080024882988305,23.736392000834787,Cocktail Bar,0
Acharnes,38.0841607,23.7368653,Κρητικοπούλα,38.08875965535214,23.73258028085476,Meze Restaurant,0
Acharnes,38.0841607,23.7368653,Square,38.08154082929475,23.735514619147263,Café,0
Acharnes,38.0841607,23.7368653,Mrs Pizza,38.087703,23.742728,Pizza Place,0
Acharnes,38.0841607,23.7368653,Museum Cafe,38.080686818582066,23.73575012059763,Café,0
Acharnes,38.0841607,23.7368653,Emporiko Cafe,38.082618624804276,23.73665525895049,Café,0
Acharnes,38.0841607,23.7368653,Μεζεδοπωλείο ο Ζήκος,38.080035872495635,23.736428792256298,Meze Restaurant,0
Acharnes,38.0841607,23.7368653,Κιτσαρώνας,38.08074205609377,23.73676581965007,Taverna,0
Acharnes,38.0841607,23.7368653,Κλικ,38.08078773054474,23.737455905030785,Café,0
Acharnes,38.0841607,23.7368653,Happy,38.080537,23.735638,Creperie,0
Acharnes,38.0841607,23.7368653,Καθ' Οδον,38.08430472506109,23.745755967149044,Café,0
Acharnes,38.0841607,23.7368653,Φούρνος Μαρουγκα,38.0814443116427,23.74129823627099,Bakery,0
Agios Ioannis Rentis,37.9623421,23.668454,Μπάρμπα Αλέξης,37.95569692410707,23.668855427760807,Kebab Restaurant,0
Agios Ioannis Rentis,37.9623421,23.668454,Γήπεδο 8x8,37.96732000622578,23.667708227621496,Soccer Field,0
Agios Ioannis Rentis,37.9623421,23.668454,Soccerino Mini Football Club,37.96643121395282,23.675195727399654,Soccer Field,0
Agios Ioannis Rentis,37.9623421,23.668454,Ελαιώνας Football Club 2,37.9641105753905,23.663948026581835,Soccer Field,0
Agios Ioannis Rentis,37.9623421,23.668454,Γρηγόρης,37.95683119645445,23.671166430989896,Snack Place,0
Agios Ioannis Rentis,37.9623421,23.668454,Copa Renti Soccer Club,37.966915945474796,23.674230934722758,Soccer Field,0
Agios Ioannis Rentis,37.9623421,23.668454,Everest,37.96168548264815,23.67451966429815,Snack Place,0
Agios Ioannis Rentis,37.9623421,23.668454,Renti Arena,37.967061219906114,23.674110247700007,Soccer Field,0
Agios Ioannis Rentis,37.9623421,23.668454,Γήπεδο 5x5 Ελαιώνα,37.964474172798475,23.663980439120156,Soccer Field,0
Agios Ioannis Rentis,37.9623421,23.668454,zio peppe,37.96196503584225,23.67386006407952,Pizza Place,0
Agios Ioannis Rentis,37.9623421,23.668454,"Αθλητικός Σύλλογος Tang Soo Do - ""Η Ατραπός""",37.96197426781266,23.675400107255893,Martial Arts School,0
Agios Ioannis Rentis,37.9623421,23.668454,Θέατρο Όνειρο,37.956211,23.668392,Theater,0
Agios Ioannis Rentis,37.9623421,23.668454,Piatsa Souvlaki,37.956053,23.670569,Food Stand,0
Agios Ioannis Rentis,37.9623421,23.668454,Ολυμπιακός Ρέντης,37.96704874385444,23.67440634404084,Soccer Field,0
"Agios Stefanos, Attica",38.1410051,23.8575845,Goloso,38.13903313076182,23.85978832892466,Pizza Place,0
"Agios Stefanos, Attica",38.1410051,23.8575845,Grid,38.140064902616146,23.86007239297446,Café,0
"Agios Stefanos, Attica",38.1410051,23.8575845,Άβακας,38.14030819033278,23.8594049264326,Magirio,0
"Agios Stefanos, Attica",38.1410051,23.8575845,Σταθμός Οίον,38.140918513373805,23.85981810448237,Café,0
"Agios Stefanos, Attica",38.1410051,23.8575845,Γρηγόρης,38.138025662769046,23.855042957792705,Snack Place,0
"Agios Stefanos, Attica",38.1410051,23.8575845,Everest,38.139544020762756,23.84925803332704,Snack Place,0
"Agios Stefanos, Attica",38.1410051,23.8575845,Φαρμακείο  Πίππα,38.140976,23.857725,Pharmacy,0
"Agios Stefanos, Attica",38.1410051,23.8575845,Ψαροκατάσταση,38.13579057472701,23.857068073282644,Seafood Restaurant,0
"Agios Stefanos, Attica",38.1410051,23.8575845,Alpha Bank,38.13509794351184,23.857651655757508,Bank,0
"Agios Stefanos, Attica",38.1410051,23.8575845,Μπαχαρι Μεζεδομπαρακι,38.13494164590658,23.85740765844568,Restaurant,0
"Agios Stefanos, Attica",38.1410051,23.8575845,Crepes Cafe Gourmet,38.13436122565056,23.858261648519953,Creperie,0
"Agios Stefanos, Attica",38.1410051,23.8575845,ballare dance studio,38.13398282612883,23.858842593321043,Dance Studio,0
Aigaleo,37.9915665,23.6818754,the Claξons,37.9910829492315,23.679802893395575,Café,0
Aigaleo,37.9915665,23.6818754,Happy Skull,37.99057,23.681948,Café,0
Aigaleo,37.9915665,23.6818754,Hug in a Mug,37.9938462304463,23.679318440621614,Café,0
Aigaleo,37.9915665,23.6818754,Qahwa QCB,37.9914773850529,23.677978660545048,Café,0
Aigaleo,37.9915665,23.6818754,DUE,37.9918597068578,23.680040264530614,Café,0
Aigaleo,37.9915665,23.6818754,The Bakers,37.9916275297809,23.682419178838607,Bakery,0
Aigaleo,37.9915665,23.6818754,Briki the bar,37.991989116314876,23.68012153422589,Café,0
Aigaleo,37.9915665,23.6818754,Χρυσοστόμιο,37.992076415141156,23.68100748971128,Bar,0
Aigaleo,37.9915665,23.6818754,Jazz Burger Bar,37.99093,23.680152,Burger Joint,0
Aigaleo,37.9915665,23.6818754,Copper Street Bar,37.991597357693074,23.677827282418523,Bar,0
Aigaleo,37.9915665,23.6818754,Παντοποτείον,37.99099377720605,23.68002617208357,Tsipouro Restaurant,0
